J,I,TinH2,ToutH2,TinAIR,ToutAIR,TinWAT,ToutWAT,PinAIR,PoutAIR,PoutH2,PinH2,DinH2,DoutH2,DinAIR,DoutAIR,DWAT,HrAIRFC,Utot
0.70162636,70.162636,26.53957,40.610504,42.25728,51.6105,53.831547,55.43666,1301.0558,1268.1792,1301.989,1289.4484,4.7993317,2.1227906,23.036997,21.400547,2.0469828,49.740334,3.3540516
0.7016279,70.16279,26.56953,40.550312,42.26153,51.601925,53.824432,55.420303,1300.8607,1268.0337,1302.2815,1289.7794,4.7991314,2.120745,23.036934,21.395067,2.0473099,49.788452,3.3527539
0.70163494,70.16349,26.580866,40.494484,42.259975,51.587296,53.81799,55.415447,1300.7142,1267.946,1302.5853,1290.1014,4.799494,2.114861,23.036688,21.388855,2.0469615,49.803677,3.3516884
0.70163584,70.16358,26.585632,40.436634,42.258446,51.581966,53.82031,55.42266,1300.4727,1267.7175,1302.7039,1290.2141,4.7992043,2.1108065,23.036432,21.389742,2.0503619,49.81372,3.3506496
0.7016421,70.16421,26.602215,40.431843,42.2746,51.578297,53.81767,55.418316,1300.4607,1267.7582,1302.3402,1289.8097,4.8006735,2.1031246,23.036152,21.392185,2.0501373,49.852867,3.3498042
0.7016491,70.16491,26.650942,40.47697,42.271606,51.584488,53.820385,55.41911,1300.4497,1267.766,1302.418,1289.7815,4.8018856,2.1134489,23.03625,21.390875,2.0500546,49.880184,3.349214
0.7016491,70.16491,26.73632,40.55621,42.28324,51.59275,53.82687,55.42801,1300.341,1267.5756,1301.632,1288.963,4.802894,2.1082275,23.036509,21.39188,2.0489895,49.897194,3.3488543
0.701622,70.1622,26.866232,40.687862,42.294807,51.614014,53.830433,55.42952,1300.3083,1267.4463,1301.1438,1288.4363,4.803875,2.1027346,23.036837,21.399303,2.054493,49.910603,3.3494785
0.701588,70.1588,27.050837,40.848,42.298958,51.657757,53.84213,55.43275,1300.2448,1267.284,1300.7234,1288.0039,4.8026385,2.10274,23.037146,21.40219,2.0584767,49.92737,3.349922
0.70156157,70.15616,27.250124,40.98367,42.29938,51.68565,53.844116,55.43476,1300.241,1267.2577,1300.3597,1287.6611,4.802029,2.1012216,23.037521,21.411106,2.0611324,49.911182,3.350209
0.70153946,70.153946,27.429655,41.163063,42.32359,51.716053,53.848522,55.43948,1300.1602,1267.1781,1300.3512,1287.5947,4.8014655,2.1016302,23.037947,21.423302,2.0610025,49.909252,3.35084
0.70151514,70.15151,27.604843,41.302555,42.34081,51.733315,53.841484,55.427883,1300.1313,1267.0913,1300.4698,1287.6434,4.8007364,2.0992208,23.038265,21.428356,2.0629232,49.96721,3.351415
0.70149106,70.14911,27.746283,41.441128,42.34652,51.752254,53.836475,55.421646,1300.1567,1267.1204,1300.3917,1287.5222,4.799842,2.0957484,23.038364,21.434376,2.0615652,50.00327,3.3524766
0.7014781,70.14781,27.849237,41.549355,42.344177,51.777798,53.84634,55.42595,1299.9316,1266.8801,1300.2711,1287.3997,4.7989593,2.0948,23.038599,21.43736,2.0599346,49.979572,3.3537087
0.7014715,70.147156,27.915306,41.640755,42.345055,51.791824,53.84507,55.42303,1299.9635,1266.826,1300.1957,1287.3279,4.7996006,2.098322,23.038786,21.435516,2.0593703,49.988575,3.3545916
0.7014663,70.14663,27.953798,41.707306,42.34082,51.801266,53.842667,55.424187,1299.737,1266.5419,1300.504,1287.6031,4.7994494,2.1038666,23.03868,21.430445,2.0570817,49.99999,3.3556662
0.70146483,70.146484,27.984627,41.710297,42.338093,51.80387,53.88376,55.421803,1299.78,1266.6897,1300.642,1287.7344,4.799123,2.1062374,23.038857,21.428633,2.0558524,50.01961,3.3560872
0.70146453,70.146454,27.973087,41.711445,42.338764,51.793278,53.850224,55.4175,1299.7803,1266.7103,1301.2532,1288.4441,4.7986803,2.1105149,23.038631,21.425842,2.0503564,50.035435,3.3563461
0.70147264,70.14726,27.934929,41.693443,42.334396,51.791492,53.822163,55.419075,1299.8314,1266.9227,1301.7216,1289.0004,4.7958455,2.1141615,23.03848,21.427187,2.0439892,50.036312,3.3562727
0.70148206,70.1482,27.88258,41.65877,42.332302,51.773495,53.79177,55.41641,1299.7626,1266.9247,1302.3823,1289.7062,4.7966223,2.1246088,23.038004,21.423878,2.0412145,50.062374,3.355358
0.7014955,70.14955,27.800138,41.56827,42.312084,51.75364,53.767994,55.41215,1299.6713,1266.982,1302.3845,1289.7097,4.797302,2.1260612,23.03778,21.420649,2.0391114,50.06662,3.35347
0.7015148,70.15148,27.684156,41.413513,42.28943,51.727062,53.750317,55.41307,1299.6642,1267.0553,1303.2126,1290.5752,4.79758,2.131172,23.037413,21.40987,2.035823,50.003273,3.3518035
0.7015427,70.15427,27.53528,41.299763,42.27083,51.694244,53.72736,55.41289,1299.5353,1267.0745,1303.4713,1290.821,4.7988095,2.1342795,23.039583,21.408384,2.0345423,49.986828,3.3501143
0.701563,70.156296,27.399097,41.21172,42.251804,51.66752,53.71839,55.418167,1299.4897,1267.134,1303.0586,1290.4517,4.7996936,2.1423242,23.037834,21.402527,2.033604,49.971672,3.3484976
0.70159006,70.159004,27.287659,41.134865,42.242603,51.651546,53.707737,55.414032,1299.4861,1267.2418,1302.6825,1290.0845,4.8017225,2.1409082,23.03621,21.398981,2.0324762,49.955387,3.3471284
0.70160836,70.160835,27.221727,41.077114,42.239117,51.646446,53.709213,55.417397,1299.6138,1267.4487,1301.8978,1289.2517,4.802589,2.140003,23.035053,21.395283,2.0346014,49.94655,3.3457885
0.7016051,70.16051,27.21696,41.05587,42.256042,51.645767,53.714733,55.424282,1299.6427,1267.3724,1301.1377,1288.4995,4.8031483,2.1310368,23.034035,21.399878,2.0403504,49.95245,3.3449304
0.7015919,70.15919,27.269102,41.078384,42.261383,51.667725,53.73041,55.43497,1299.6584,1267.316,1300.1627,1287.5498,4.8033576,2.1302865,23.033209,21.403883,2.0472765,49.945045,3.3443794
0.7015578,70.15578,27.333399,41.086414,42.269848,51.67743,53.741333,55.435677,1299.5953,1267.2343,1300.2312,1287.5906,4.8024654,2.1298707,23.032606,21.400063,2.0483305,49.949543,3.3426247
0.7015452,70.15452,27.392746,41.094376,42.283123,51.667183,53.74841,55.438423,1299.8813,1267.5319,1299.8171,1287.1648,4.802205,2.125848,23.032093,21.40821,2.04628,49.957153,3.3417885
0.70154184,70.15418,27.447742,41.121887,42.304142,51.668884,53.75666,55.444286,1299.5734,1267.3771,1299.5272,1286.8823,4.802027,2.1193368,23.031803,21.40849,2.0422976,49.952347,3.3410313
0.70154715,70.15472,27.505478,41.13273,42.32077,51.656364,53.757534,55.431755,1299.5594,1267.3323,1299.1117,1286.404,4.8018107,2.1110725,23.031475,21.407318,2.0370643,49.98776,3.3413875
0.7015792,70.15792,27.544937,41.108467,42.32187,51.660114,53.772057,55.43411,1299.6472,1267.3834,1298.5947,1285.8988,4.800285,2.1073036,23.031168,21.409912,2.031625,49.986015,3.3425877
0.70161563,70.16156,27.570555,41.138504,42.33921,51.65989,53.800747,55.44409,1299.5981,1267.2603,1298.415,1285.7218,4.8002915,2.1063256,23.031233,21.41175,2.0250857,49.96409,3.3441718
0.70166713,70.16671,27.582224,41.208046,42.347767,51.6466,53.811516,55.440727,1299.7701,1267.356,1298.3976,1285.7463,4.799987,2.1075895,23.031504,21.415749,2.0201843,49.97514,3.345998
0.7017585,70.17585,27.568106,41.25418,42.349205,51.639545,53.83245,55.444794,1299.8164,1267.3499,1298.6891,1286.1581,4.800228,2.1077104,23.031942,21.416676,2.009509,49.9628,3.3479939
0.7018209,70.18209,27.543238,41.27003,42.349716,51.632248,53.856213,55.445927,1299.8082,1267.335,1298.7909,1286.326,4.7994556,2.1071415,23.032677,21.416683,2.0017138,49.937977,3.350135
0.7018871,70.188705,27.505232,41.297703,42.354004,51.628162,53.80604,55.44678,1299.9498,1267.3508,1299.3444,1287.0243,4.7986264,2.1099699,23.033344,21.41646,1.993681,49.936203,3.3539503
0.70195913,70.19591,27.486446,41.306213,42.351303,51.62391,53.808548,55.44897,1300.1437,1267.4674,1299.5048,1287.244,4.797725,2.1130526,23.034231,21.415577,1.9898278,49.93033,3.3564966
0.70202756,70.20276,27.478134,41.301582,42.34658,51.604115,53.80625,55.445576,1300.1721,1267.4556,1299.6514,1287.3584,4.800345,2.1184273,23.035116,21.41403,1.9893435,49.93323,3.3576083
0.7021057,70.21057,27.475111,41.275143,42.33324,51.587914,53.80331,55.44083,1300.0289,1267.2905,1299.5182,1287.206,4.800325,2.1157265,23.036573,21.408491,1.990034,49.923687,3.3572264
0.702157,70.2157,27.463726,41.16311,42.314743,51.575626,53.79949,55.440044,1300.3073,1267.5425,1300.1085,1287.8036,4.8001776,2.1213322,23.037685,21.408253,1.9926904,49.90704,3.3565934
0.7022187,70.22187,27.44206,41.169476,42.304157,51.56527,53.798588,55.438023,1300.1726,1267.5267,1300.1421,1287.8948,4.8001356,2.125478,23.039242,21.411951,1.9971367,49.92151,3.3546627
0.7022606,70.22606,27.41416,41.12316,42.278145,51.5607,53.80408,55.437263,1300.1945,1267.5839,1300.0082,1287.7505,4.80015,2.1283534,23.036821,21.408949,2.0041687,49.897152,3.352568
0.70230204,70.2302,27.392525,41.02591,42.258442,51.558178,53.806526,55.43464,1300.2485,1267.6526,1300.3118,1287.8911,4.7998514,2.1244924,23.036924,21.405901,2.0113237,49.888977,3.350056
0.70233756,70.23376,27.378023,40.957077,42.25183,51.553066,53.810593,55.430138,1300.527,1268.0017,1299.6578,1287.0603,4.799569,2.1231527,23.036873,21.402216,2.0206552,49.913647,3.3465695
0.7023374,70.23374,27.37309,40.908657,42.251156,51.55883,53.823185,55.43576,1300.5615,1267.9597,1299.3619,1286.6282,4.7983127,2.1192245,23.037128,21.398436,2.0296495,49.929512,3.3430452
0.7023258,70.23258,27.39216,40.86096,42.25806,51.57061,53.82571,55.436447,1300.5775,1267.971,1299.4406,1286.6572,4.79821,2.122981,23.036947,21.396936,2.0344245,49.96674,3.3395698
0.7022725,70.22725,27.415146,40.826183,42.258327,51.568497,53.825237,55.424202,1300.7814,1268.1993,1299.9446,1287.0734,4.797924,2.1221297,23.037153,21.39709,2.0385017,50.005768,3.336308
0.7022758,70.227585,27.450447,40.832153,42.24776,51.5742,53.83449,55.436115,1300.6626,1268.1884,1299.2103,1286.2627,4.7977643,2.125388,23.03684,21.402044,2.0420885,49.95993,3.3340135
0.7022789,70.22789,27.478342,40.82242,42.265038,51.570908,53.829395,55.42328,1300.2942,1267.9229,1299.4639,1286.4387,4.798297,2.1239278,23.037003,21.404694,2.044199,50.010674,3.332378
0.70227355,70.227356,27.512268,40.83258,42.273857,51.56622,53.835903,55.416252,1300.2892,1267.9409,1299.4762,1286.4222,4.7977276,2.1261818,23.03708,21.412407,2.04936,50.02904,3.3318574
0.7022537,70.22537,27.554476,40.88652,42.282825,51.570183,53.84247,55.419716,1300.2527,1267.9723,1299.4484,1286.4523,4.796878,2.1277623,23.037075,21.41249,2.0488677,50.01936,3.33175
0.70223665,70.22366,27.598112,40.993256,42.295425,51.582233,53.841785,55.423252,1299.9093,1267.7417,1299.3422,1286.3718,4.7976637,2.1267414,23.036997,21.412569,2.0448978,50.009632,3.3326502
0.7022274,70.22274,27.643997,41.057076,42.29198,51.591652,53.843307,55.42557,1299.9171,1267.796,1299.5034,1286.5807,4.7975516,2.1263714,23.037056,21.412256,2.043237,49.988735,3.3341746
0.7022167,70.22167,27.694784,41.07487,42.29264,51.60974,53.83391,55.424355,1300.0092,1267.8557,1299.7068,1286.8478,4.7976785,2.123271,23.0372,21.406713,2.0379064,49.984634,3.3363223
0.70216745,70.21674,27.757557,41.119434,42.297062,51.619488,53.82516,55.42562,1299.816,1267.6877,1299.6652,1286.8751,4.7972245,2.1237614,23.037539,21.406858,2.037397,49.973587,3.3395863
0.70214397,70.2144,27.819387,41.182728,42.309143,51.625454,53.822987,55.434273,1299.7256,1267.5652,1299.107,1286.4075,4.797311,2.1224759,23.037685,21.407099,2.0402994,49.962032,3.3433244
0.7021333,70.21333,27.860157,41.211067,42.296284,51.61683,53.81358,55.42857,1299.5671,1267.4227,1299.2515,1286.603,4.797065,2.1214342,23.037748,21.40629,2.0422451,49.961555,3.3449059
0.7021143,70.211426,27.883806,41.264835,42.284767,51.613846,53.80764,55.42819,1299.4994,1267.4335,1298.5812,1285.9469,4.796906,2.1172814,23.037619,21.404629,2.0460193,49.954807,3.3461595
0.70211416,70.21142,27.898268,41.27816,42.27387,51.606834,53.792175,55.417194,1299.5946,1267.5448,1298.7913,1286.3252,4.79693,2.1134565,23.037762,21.407022,2.0476575,49.986286,3.3467708
0.7020827,70.20827,27.903837,41.2794,42.259956,51.607555,53.793842,55.421432,1299.8624,1267.82,1298.6818,1286.2838,4.7966647,2.1078906,23.037418,21.408625,2.051282,49.975533,3.3476286
0.7020822,70.20822,27.897264,41.344196,42.247982,51.601463,53.78134,55.409393,1300.0092,1268.0348,1298.6262,1286.2723,4.7965803,2.1062853,23.037432,21.408459,2.0487716,49.974583,3.347153
0.70208657,70.20866,27.88149,41.292835,42.234344,51.597492,53.772984,55.399593,1299.9874,1267.9984,1298.3267,1285.8644,4.7964087,2.1059945,23.037436,21.399775,2.0516758,49.991577,3.347018
0.70208895,70.2089,27.87198,41.250084,42.21895,51.586143,53.76488,55.388943,1300.1029,1268.1327,1298.5044,1285.8551,4.796116,2.103033,23.037304,21.394402,2.0488591,50.024254,3.3464057
0.70209247,70.20925,27.854115,41.23231,42.22754,51.58529,53.769634,55.390087,1300.1967,1268.2197,1298.3173,1285.6569,4.795956,2.1027775,23.037144,21.389225,2.0437813,50.041172,3.345831
0.70208645,70.20865,27.84427,41.167286,42.236996,51.579983,53.774418,55.393,1300.3208,1268.2028,1298.7399,1286.0364,4.7956786,2.1117408,23.03724,21.390455,2.040492,50.055363,3.345205
0.7020896,70.20896,27.840137,41.13615,42.24911,51.57719,53.773243,55.39,1300.4974,1268.324,1299.1031,1286.4752,4.7953415,2.1189916,23.037125,21.394508,2.0380154,50.08888,3.3440433
0.7021016,70.21016,27.807903,41.091637,42.249638,51.574028,53.779705,55.395336,1300.4414,1268.1443,1299.2994,1286.6519,4.7962146,2.1216927,23.03725,21.395359,2.0371835,50.07506,3.3430004
0.7021385,70.21385,27.765038,41.051414,42.24833,51.572285,53.787743,55.399483,1300.0035,1267.7883,1299.1578,1286.4733,4.7971163,2.122325,23.037191,21.395784,2.0401418,50.062702,3.3411026
0.7021564,70.21564,27.73516,41.010773,42.266777,51.55794,53.787796,55.38379,1299.7166,1267.5289,1299.4767,1286.7437,4.7978153,2.124755,23.037325,21.397741,2.0416849,50.154644,3.339651
0.7021737,70.21737,27.721773,40.998928,42.269264,51.5572,53.801147,55.389755,1299.5802,1267.4133,1298.852,1286.136,4.7965126,2.1206205,23.037258,21.392778,2.041758,50.146927,3.337793
0.702158,70.2158,27.722054,40.98275,42.279015,51.56286,53.805187,55.39907,1299.4453,1267.2886,1298.5814,1285.8278,4.797369,2.1188169,23.03717,21.39123,2.0366747,50.152645,3.3363867
0.7021849,70.21849,27.729057,40.958073,42.298347,51.578876,53.812344,55.404816,1299.5403,1267.3124,1298.718,1285.9772,4.79809,2.1186237,23.037,21.39298,2.0335295,50.16614,3.335747
0.70217514,70.217514,27.743906,40.896595,42.313885,51.586433,53.823776,55.414192,1299.7373,1267.423,1298.9346,1286.1307,4.7987094,2.1158319,23.037268,21.393202,2.0301979,50.174885,3.3348987
0.70217645,70.21764,27.767412,40.915714,42.317657,51.595997,53.815845,55.417362,1299.7814,1267.4119,1299.0938,1286.4259,4.79906,2.1149287,23.037565,21.393673,2.0263102,50.149635,3.3345597
0.70217377,70.21738,27.798565,40.958836,42.332035,51.60106,53.822918,55.42976,1299.7186,1267.2943,1298.523,1285.8673,4.799626,2.1195972,23.03776,21.399536,2.0234754,50.11942,3.3348644
0.7021795,70.21795,27.829748,41.004005,42.334946,51.606663,53.83398,55.443665,1299.7404,1267.3964,1298.2906,1285.722,4.800105,2.1183064,23.037601,21.402203,2.0226436,50.06859,3.3350706
0.70217896,70.217896,27.859919,41.04346,42.335995,51.609554,53.829517,55.442425,1299.6171,1267.2294,1298.8752,1286.3667,4.800157,2.119755,23.037378,21.41059,2.0176158,50.069244,3.335732
0.70215034,70.215034,27.914715,41.129055,42.33784,51.626816,53.828526,55.449856,1299.9108,1267.6118,1298.4991,1286.0608,4.8005733,2.1187882,23.037226,21.410395,2.0115182,50.050392,3.3364542
0.70213664,70.21366,27.98397,41.17675,42.338623,51.63539,53.819046,55.4492,1300.3323,1268.0585,1298.8109,1286.4414,4.801777,2.1197467,23.037228,21.41056,2.0055256,50.07278,3.3375819
0.70210475,70.21047,28.054312,41.251873,42.343254,51.65132,53.820763,55.46114,1300.488,1268.169,1298.1699,1285.7072,4.80081,2.1244318,23.037203,21.404602,2.000288,50.03224,3.338832
0.7020977,70.20977,28.11743,41.307938,42.346798,51.65767,53.807934,55.454567,1300.5771,1268.2325,1298.3735,1285.9745,4.8001246,2.1282306,23.037376,21.403389,1.9934014,50.03284,3.3398705
0.70209014,70.209015,28.170244,41.34943,42.349686,51.664314,53.80884,55.460636,1300.6796,1268.2969,1298.4589,1286.1039,4.7989564,2.1298046,23.037355,21.399982,1.9884999,50.043022,3.3414056
0.7020706,70.20706,28.203503,41.41241,42.341633,51.66342,53.805103,55.461308,1301.0303,1268.7229,1299.2458,1287.014,4.7981343,2.1358087,23.037329,21.394499,1.9787042,50.03697,3.3425586
0.70208406,70.208405,28.205662,41.46704,42.358444,51.664307,53.807854,55.467827,1301.1057,1268.8545,1299.3541,1287.3151,4.797211,2.1436093,23.037302,21.394873,1.9733151,50.037865,3.343336
0.70209193,70.20919,28.196985,41.48511,42.348476,51.65812,53.80138,55.466984,1301.1794,1268.9053,1300.0104,1287.9951,4.7960095,2.1488466,23.037281,21.394794,1.9715064,50.015816,3.343491
0.7021048,70.21048,28.178864,41.49708,42.333744,51.659664,53.801105,55.469234,1301.1188,1268.9353,1299.8761,1287.9271,4.7948184,2.1471908,23.037092,21.398336,1.9715658,50.01266,3.343202
0.7021315,70.21315,28.144339,41.45112,42.32856,51.653774,53.79619,55.465942,1300.8658,1268.7561,1300.1063,1288.0852,4.792951,2.1435516,23.03685,21.395208,1.9760151,50.024223,3.342718
0.7021503,70.21503,28.106157,41.409763,42.301044,51.642033,53.796646,55.45996,1300.7905,1268.8052,1299.9653,1287.8624,4.793645,2.1406493,23.036562,21.3965,1.9812076,49.990993,3.3415754
0.7021781,70.21781,28.064808,41.373714,42.29894,51.63182,53.809402,55.46548,1300.6399,1268.6293,1299.899,1287.7642,4.7938647,2.1355953,23.036377,21.392382,1.9842275,49.98401,3.3408928
0.7022213,70.22212,28.012785,41.292217,42.307533,51.615337,53.811554,55.461,1300.5206,1268.5157,1299.0723,1286.9946,4.7943096,2.1266258,23.036402,21.38393,1.9866741,50.00663,3.3399968
0.7022236,70.22236,27.970987,41.245865,42.316265,51.613514,53.816257,55.457466,1300.5583,1268.6215,1299.1066,1287.0028,4.7962246,2.1241436,23.03639,21.387688,1.9859716,50.014214,3.3392217
0.7022605,70.22605,27.927225,41.158348,42.325897,51.609997,53.823097,55.45867,1300.5771,1268.6353,1299.3083,1287.099,4.79706,2.1227264,23.036295,21.38925,1.985596,50.018898,3.3380542
0.7022585,70.22585,27.884954,41.112167,42.32108,51.600536,53.824017,55.454796,1300.3834,1268.36,1299.6268,1287.4255,4.7978215,2.1143026,23.036495,21.393839,1.9880964,50.00162,3.3371644
0.70228595,70.22859,27.852213,41.085415,42.30075,51.59516,53.82176,55.44995,1300.2634,1268.3137,1299.7839,1287.6044,4.798544,2.1121182,23.036383,21.39451,1.9881808,49.95282,3.3359542
0.702301,70.2301,27.826567,41.077038,42.30567,51.5926,53.81992,55.447216,1300.011,1268.1006,1299.551,1287.2869,4.799498,2.114899,23.03612,21.396818,1.9882333,49.96976,3.3349009
0.70231014,70.23101,27.798494,41.067623,42.302074,51.58698,53.819744,55.446438,1299.7291,1267.8927,1299.8612,1287.6721,4.800164,2.1085014,23.035929,21.39576,1.9896499,49.942707,3.3339062
0.70230126,70.230125,27.788504,41.07122,42.299297,51.584938,53.815624,55.44842,1299.6022,1267.7744,1299.7794,1287.4924,4.800674,2.1048183,23.03596,21.391304,1.9886063,49.91949,3.3329153
0.7022915,70.22915,27.810572,41.106335,42.28674,51.590477,53.809174,55.44939,1299.7456,1267.8531,1299.1892,1286.8689,4.800619,2.100983,23.036188,21.386572,1.9884468,49.89739,3.3326936
0.7022901,70.22901,27.839474,41.123497,42.2769,51.592026,53.80421,55.449463,1299.9467,1267.8738,1299.0507,1286.6667,4.8015127,2.1039555,23.036745,21.386658,1.9880997,49.894382,3.3327951
0.7022841,70.22841,27.86084,41.19479,42.280853,51.597507,53.800198,55.450985,1299.7957,1267.6512,1299.018,1286.7277,4.8004518,2.1076508,23.037138,21.391375,1.9870071,49.8779,3.332473
0.7022755,70.22755,27.888409,41.234818,42.27585,51.605778,53.79724,55.448963,1299.9814,1267.7427,1298.6863,1286.5018,4.8003454,2.1026,23.037205,21.391815,1.9884566,49.890057,3.3328445
0.70225513,70.22551,27.926685,41.307987,42.282078,51.612003,53.801273,55.458458,1300.2932,1267.969,1298.2479,1286.1923,4.7999644,2.1070466,23.037308,21.390045,1.9879369,49.893864,3.3329742
0.7022491,70.22491,27.961176,41.372746,42.29051,51.607456,53.789963,55.45417,1300.2151,1267.9225,1298.6411,1286.7057,4.799756,2.1179914,23.037348,21.388414,1.9876907,49.920788,3.3329284
0.7022548,70.22548,27.999046,41.426373,42.300484,51.612316,53.785835,55.4551,1300.1704,1267.9059,1298.8926,1286.9506,4.799146,2.1157944,23.0375,21.392693,1.9869891,49.918377,3.3329256
0.70223165,70.22316,28.050737,41.468357,42.29357,51.627846,53.78624,55.456055,1300.2678,1268.0333,1299.2351,1287.2933,4.798376,2.117543,23.037582,21.39783,1.9870771,49.913643,3.3332558
0.7022197,70.22197,28.099997,41.493835,42.299236,51.6413,53.787895,55.458836,1300.3427,1268.1635,1298.9266,1286.9976,4.7973003,2.1214855,23.037598,21.397417,1.9877241,49.947834,3.333432
0.7022145,70.22145,28.145212,41.489353,42.30991,51.650425,53.7862,55.457024,1300.5405,1268.4015,1299.5466,1287.561,4.7960615,2.1198637,23.037432,21.391973,1.9894469,49.96038,3.333256
0.7022265,70.22265,28.177963,41.460247,42.30754,51.65166,53.79021,55.45924,1300.71,1268.5782,1299.1237,1287.0844,4.799163,2.1225688,23.037205,21.39318,1.9894283,49.957462,3.3333137
0.70223665,70.22366,28.185724,41.395397,42.33394,51.65297,53.793743,55.455894,1300.6599,1268.6094,1298.7932,1286.6829,4.7984614,2.121199,23.037321,21.38591,1.9908568,50.012,3.3334298
0.7022509,70.22509,28.174189,41.36075,42.352123,51.644623,53.787544,55.447384,1300.541,1268.6736,1298.1635,1286.1068,4.797964,2.1215248,23.037367,21.38285,1.9918294,50.053432,3.3328195
0.7022551,70.2255,28.16332,41.35548,42.34725,51.649853,53.790546,55.445217,1300.5751,1268.8204,1298.1718,1286.1256,4.797366,2.1175232,23.037222,21.386078,1.9908644,50.05588,3.3323817
0.7022749,70.22749,28.13302,41.29473,42.34388,51.64058,53.79278,55.447773,1300.6967,1268.9769,1298.4015,1286.315,4.796783,2.114673,23.037169,21.387968,1.9930297,50.05551,3.331357
0.70230305,70.23031,28.088438,41.245415,42.34103,51.63477,53.792282,55.44189,1300.7266,1269.0981,1299.1716,1287.2743,4.7961273,2.1063495,23.037207,21.388561,1.9940356,50.033257,3.3303912
0.70233876,70.23387,28.037554,41.17192,42.3381,51.63234,53.79066,55.43951,1300.585,1269.0907,1299.067,1287.1154,4.794428,2.1051314,23.037163,21.384413,1.9924306,50.03371,3.3287885
0.7023598,70.235985,27.982027,41.160545,42.34559,51.630966,53.79698,55.442455,1300.4329,1268.9307,1299.0729,1287.1569,4.794377,2.1080532,23.037045,21.386938,1.9922407,50.01851,3.327614
0.7023404,70.23404,27.939718,41.140133,42.327908,51.62622,53.799473,55.441147,1300.2362,1268.6656,1299.7418,1287.728,4.794403,2.1054926,23.036924,21.379374,1.9923726,49.950985,3.325692
0.70231694,70.2317,27.915382,41.133587,42.319477,51.62192,53.80304,55.441315,1300.2252,1268.6477,1299.6823,1287.5627,4.794416,2.1006055,23.037014,21.3774,1.9928274,49.941906,3.3237188
0.70231783,70.23179,27.897732,41.10493,42.312458,51.624294,53.804787,55.442036,1300.0889,1268.3783,1300.34,1288.2207,4.793354,2.1004982,23.036982,21.384466,1.9937185,49.951042,3.322152
0.70230716,70.23072,27.873344,41.124344,42.30505,51.62389,53.809265,55.442837,1300.2251,1268.4386,1300.739,1288.596,4.79516,2.1066585,23.036903,21.38705,1.993306,49.954475,3.3204317
0.70228475,70.22848,27.846642,41.15079,42.29812,51.62665,53.8137,55.44872,1300.2628,1268.4607,1300.8246,1288.6997,4.796119,2.1072962,23.036625,21.390717,1.9923501,49.940105,3.3185015
0.702262,70.2262,27.846077,41.152817,42.29612,51.624653,53.816647,55.45279,1300.6555,1268.6925,1300.9492,1288.8278,4.797015,2.1043026,23.036419,21.392946,1.9936558,49.93053,3.3173466
